C.Rep,Week,C.Light,C.Nutrients,Species,Individuals
1,0,H,L,Lm,50
1,0,H,H,Lm,50
2,0,H,L,Lm,50
2,0,H,H,Lm,50
1,0,H,M,Lm,50
2,0,H,M,Lm,50
1,0,M,H,Lm,50
1,0,M,L,Lm,50
1,0,M,M,Lm,50
2,0,M,H,Lm,50
2,0,M,L,Lm,50
2,0,M,M,Lm,50
1,0,L,L,Lm,50
1,0,L,H,Lm,50
2,0,L,H,Lm,50
1,0,L,M,Lm,50
2,0,L,M,Lm,50
2,0,L,L,Lm,50
1,1,H,L,Lm,63
1,1,H,H,Lm,66
2,1,H,L,Lm,69
2,1,H,H,Lm,67
1,1,H,M,Lm,70
2,1,H,M,Lm,68
1,1,M,H,Lm,60
1,1,M,L,Lm,68
1,1,M,M,Lm,63
2,1,M,H,Lm,60
2,1,M,L,Lm,59
2,1,M,M,Lm,61
1,1,L,L,Lm,60
1,1,L,H,Lm,62
2,1,L,H,Lm,64
1,1,L,M,Lm,59
2,1,L,M,Lm,61
2,1,L,L,Lm,62
1,3,H,L,Lm,229
1,3,H,H,Lm,312
2,3,H,L,Lm,273
2,3,H,H,Lm,463
1,3,H,M,Lm,468
2,3,H,M,Lm,368
1,3,M,H,Lm,304
1,3,M,L,Lm,262
1,3,M,M,Lm,271
2,3,M,H,Lm,392
2,3,M,L,Lm,205
2,3,M,M,Lm,351
1,3,L,L,Lm,285
1,3,L,H,Lm,300
2,3,L,H,Lm,396
1,3,L,M,Lm,227
2,3,L,M,Lm,251
2,3,L,L,Lm,211
1,5,H,L,Lm,284
1,5,H,H,Lm,461
2,5,H,L,Lm,294
2,5,H,H,Lm,376
1,5,H,M,Lm,446
2,5,H,M,Lm,419
1,5,M,H,Lm,341
1,5,M,L,Lm,339
1,5,M,M,Lm,403
2,5,M,H,Lm,467
2,5,M,L,Lm,341
2,5,M,M,Lm,514
1,5,L,L,Lm,434
1,5,L,H,Lm,431
2,5,L,H,Lm,602
1,5,L,M,Lm,595
2,5,L,M,Lm,639
2,5,L,L,Lm,412
1,7,H,L,Lm,264
1,7,H,H,Lm,275
2,7,H,L,Lm,150
2,7,H,H,Lm,245
1,7,H,M,Lm,212
2,7,H,M,Lm,222
1,7,M,H,Lm,743
1,7,M,L,Lm,335
1,7,M,M,Lm,521
2,7,M,H,Lm,574
2,7,M,L,Lm,237
2,7,M,M,Lm,498
1,7,L,L,Lm,498
1,7,L,H,Lm,1107
2,7,L,H,Lm,830
1,7,L,M,Lm,746
2,7,L,M,Lm,853
2,7,L,L,Lm,589
1,9,H,L,Lm,122
1,9,H,H,Lm,340
2,9,H,L,Lm,116
2,9,H,H,Lm,244
1,9,H,M,Lm,196
2,9,H,M,Lm,207
1,9,M,H,Lm,865
1,9,M,L,Lm,374
1,9,M,M,Lm,489
2,9,M,H,Lm,886
2,9,M,L,Lm,276
2,9,M,M,Lm,583
1,9,L,L,Lm,579
1,9,L,H,Lm,1308
2,9,L,H,Lm,985
1,9,L,M,Lm,773
2,9,L,M,Lm,590
2,9,L,L,Lm,600
1,11,H,L,Lm,126
1,11,H,H,Lm,314
2,11,H,L,Lm,183
