Week,C.Light,C.Nutrients,C.Rep,Species,Individual,FrondArea
1,H,L,2,Lm,1,2.8
1,H,L,2,Lm,2,4
1,H,L,2,Lm,3,3.8
1,H,L,2,Lm,4,4.7
1,H,L,2,Lm,5,4.4
1,H,L,2,Lm,6,3.8
1,H,L,2,Lm,7,3.7
1,H,L,2,Lm,8,4.3
1,H,L,2,Lm,9,3.4
1,H,L,2,Lm,10,2.9
1,H,L,1,Lm,1,2.8
1,H,L,1,Lm,2,4
1,H,L,1,Lm,3,3.8
1,H,L,1,Lm,4,4.7
1,H,L,1,Lm,5,4.4
1,H,L,1,Lm,6,3.8
1,H,L,1,Lm,7,3.7
1,H,L,1,Lm,8,4.3
1,H,L,1,Lm,9,3.4
1,H,L,1,Lm,10,2.9
1,H,L,2,Rn,1,7
1,H,L,2,Rn,2,4.4
1,H,L,2,Rn,3,4
1,H,L,2,Rn,4,3.6
1,H,L,2,Rn,5,5.4
1,H,L,2,Rn,6,7.8
1,H,L,2,Rn,7,9.3
1,H,L,2,Rn,8,6.1
1,H,L,2,Rn,9,6.2
1,H,L,2,Rn,10,9
1,H,L,1,Rn,1,7
1,H,L,1,Rn,2,4.4
1,H,L,1,Rn,3,4
1,H,L,1,Rn,4,3.6
1,H,L,1,Rn,5,5.4
1,H,L,1,Rn,6,7.8
1,H,L,1,Rn,7,9.3
1,H,L,1,Rn,8,6.1
1,H,L,1,Rn,9,6.2
1,H,L,1,Rn,10,9
1,H,L,2,Sp,1,20.1
1,H,L,2,Sp,2,16.1
1,H,L,2,Sp,3,18.8
1,H,L,2,Sp,4,14.3
1,H,L,2,Sp,5,21.4
1,H,L,2,Sp,6,15.5
1,H,L,2,Sp,7,9.3
1,H,L,2,Sp,8,10.7
1,H,L,2,Sp,9,23.3
1,H,L,2,Sp,10,12.7
1,H,L,1,Sp,1,20.1
1,H,L,1,Sp,2,16.1
1,H,L,1,Sp,3,18.8
1,H,L,1,Sp,4,14.3
1,H,L,1,Sp,5,21.4
