C.Type,E.Type,C.Env,E.Env,C.Rep,E.Rep,Species,Individual,FrondArea
Derived,Modified,2,2,1,B,Wc,2,0.0702
Ancestral,Modified,5,6,2,B,Wc,8,0.082
Derived,Original,3,5,1,A,Wc,5,0.0909
Derived,Original,3,5,1,B,Wc,4,0.0931
Derived,Modified,2,2,1,A,Wc,5,0.0979
Ancestral,Modified,5,6,2,B,Wc,6,0.1007
Derived,Original,6,5,1,B,Wc,6,0.1034
Derived,Original,6,5,2,B,Wc,6,0.1034
Derived,Original,9,5,2,B,Wc,4,0.1039
Derived,Original,3,5,1,B,Wc,1,0.1045
Derived,Original,9,5,2,B,Wc,7,0.1056
Derived,Original,3,5,1,A,Wc,2,0.108
Derived,Original,3,5,1,A,Wc,4,0.1088
Derived,Original,3,5,1,B,Wc,5,0.1098
Derived,Original,3,5,1,B,Wc,2,0.1101
Ancestral,Modified,5,6,2,A,Wc,6,0.1106
Ancestral,Modified,5,6,2,B,Wc,7,0.1116
Ancestral,Modified,5,6,2,B,Wc,5,0.1151
Derived,Original,3,5,1,B,Wc,3,0.1209
Derived,Modified,3,3,1,A,Wc,5,0.1211
Derived,Original,3,5,1,A,Wc,7,0.1215
Derived,Modified,2,2,1,B,Wc,3,0.1225
Ancestral,Modified,5,7,2,A,Wc,5,0.125
Derived,Original,9,5,1,B,Wc,8,0.1255
Derived,Original,3,5,1,A,Wc,3,0.1271
Derived,Original,6,5,1,B,Wc,9,0.1272
Derived,Original,6,5,2,B,Wc,9,0.1272
Derived,Original,3,5,1,A,Wc,1,0.1273
Ancestral,Modified,5,6,2,B,Wc,4,0.1282
Ancestral,Modified,5,6,2,A,Wc,3,0.1283
Derived,Modified,9,9,1,B,Wc,8,0.1309
Derived,Original,3,5,1,B,Wc,6,0.1312
Derived,Modified,3,3,1,B,Wc,5,0.1317
Ancestral,Modified,5,7,2,B,Wc,5,0.1325
Derived,Original,3,5,1,A,Wc,8,0.1332
Derived,Original,8,5,1,A,Wc,2,0.1334
Derived,Modified,8,8,1,B,Wc,10,0.1344
Derived,Modified,3,3,1,A,Wc,2,0.1361
Derived,Original,3,5,1,A,Wc,6,0.1364
Derived,Original,3,5,1,B,Wc,7,0.1365
Ancestral,Original,5,5,1,A,Wc,4,0.13988
Ancestral,Original,5,5,1,A,Wc,4,0.13988
Ancestral,Original,5,5,1,A,Wc,4,0.13988
Ancestral,Original,5,5,1,A,Wc,4,0.13988
Ancestral,Original,5,5,1,A,Wc,4,0.13988
Ancestral,Original,5,5,1,A,Wc,4,0.13988
Ancestral,Original,5,5,1,A,Wc,4,0.13988
Ancestral,Original,5,5,1,A,Wc,4,0.13988
